Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (µJ/K)
13488569.2,CALFILE: Puck603.cal - Addenda #378 measured on 6/4/2011 from 2.030193 to 296.44205 K
13488569.34,,5905,295.022,295.181,50000.156,9.3E-6,296.44681,4.7668728,124.71354,0.8484,14112.443,33.49,19236.118,34.85,0.18276767,61.146136,2.5122734,82.164632,6.0994157,112.8,1,,,,0.00031965,123.6215,87880.714,0.42069448,0
13489420.38,,5905,290.016,290.228,50000.156,9.3E-6,291.26002,4.5195964,132.86943,0.7476,13787.068,28.42,19245.816,30.72,1.4357357,63.758534,3.0678756,80.204889,-321.68531,5.685E6,1,,,,0.00030816,122.2923,84832.402,0.45618837,0
13490260.78,,5905,285.036,285.222,50000.156,9.2E-6,286.29738,4.5602185,131.24836,0.7037,13483.72,24.07,18875.869,28.91,0.64516181,64.138273,2.9422932,81.043785,9382.0329,4130,1,,,,0.00030019,127.5171,81966.188,0.45843368,0
13491093,,5905,280.008,280.219,50000.156,9.3E-6,281.30836,4.5363633,127.98581,0.5891,13189.081,20.22,18447.192,24.2,0.7421888,64.657684,2.5846759,83.128464,18439.972,2.015E4,1,,,,0.00029021,128.2765,79134.391,0.45496625,0
13491939.59,,5905,275.057,275.212,50000.156,9.3E-6,276.30869,4.4991286,125.98607,0.5042,12903.543,16.89,18079.499,20.72,0.52615784,65.459101,2.3436804,84.698863,28.322666,276,1,,,,0.00028044,129.3154,76346.493,0.45596131,0
13492786.22,,5905,270.023,270.205,50000.156,9.3E-6,271.30682,4.4423664,124.30987,0.414,12626.98,14.07,17734.071,17.01,0.41632377,65.244053,2.0871582,86.182417,69.35413,54.92,1,,,,0.00027555,130.9182,73607.389,0.45818927,0
13493631.34,,5905,265,265.212,50000.156,9.3E-6,266.29956,4.3726707,124.3627,0.3919,12361.356,11.78,17470.618,16.1,0.13218691,67.074559,1.8858935,87.778585,63.484734,35.77,1,,,,0.00026366,130.4881,70915.456,0.46700302,0
13494484.98,,5905,260.006,260.211,50000.156,9.3E-6,261.31202,4.3572714,123.89889,0.3389,12115.085,10.18,17205.291,13.92,0.14331294,68.094685,1.7967197,88.524782,94.85378,22.36,1,,,,0.00025561,134.1491,68283.97,0.47414156,0
13495345.02,,5905,255.03,255.21,50000.156,9.3E-6,256.31512,4.2979499,123.39604,0.328,11890.158,9.316,16959.705,13.47,0.11084371,69.105671,1.7512966,88.992797,118.40141,15.84,1,,,,0.0002482,136.1894,65697.44,0.48142318,0
13496211.14,,5905,250.009,250.196,50000.156,9.3E-6,251.31513,4.2310419,122.88809,0.3033,11672.485,8.928,16721.164,12.46,0.13700093,70.023413,1.7069801,89.427147,136.81375,11.97,1,,,,0.00024143,138.2113,63159.296,0.48898007,0
13497087.09,,5905,245.009,245.193,50000.156,9.3E-6,246.30648,4.1571396,123.02504,0.2832,11447.611,8.767,16501.917,11.63,0.18703,71.097944,1.6739734,89.828209,128.91574,11.38,1,,,,0.00023463,140.0468,60666.884,0.49947949,0
13497963.86,,5905,240.023,240.162,50000.156,9.3E-6,241.30248,4.1002437,122.46801,0.2729,11201.854,8.579,16233.275,11.21,0.21766779,72.10214,1.6249339,90.284346,145.85426,9.247,1,,,,0.00022752,142.1959,58226.885,0.50752904,0
13498841.14,,5905,235.003,235.155,50000.156,9.3E-6,236.28808,4.0424852,122.22668,0.2678,10922.044,8.216,15943.55,11,0.27786056,73.077199,1.6110447,90.550744,150.39964,8.432,1,,,,0.00022048,144.2043,55832.057,0.51727822,0
13499729.64,,5905,230.004,230.137,50000.156,9.3E-6,231.27365,3.9695867,123.34,0.2597,10613.751,7.937,15680.997,10.67,0.25298935,73.848231,1.5678494,90.980939,109.09549,10.89,1,,,,0.00021459,146.1544,53487.501,0.53330762,0
13500613.66,,5905,225.01,225.151,50000.156,9.2E-6,226.27464,3.902625,123.47782,0.2716,10290.756,7.73,15363.664,11.16,0.2177993,74.459228,1.5213622,91.379684,101.21113,11.84,1,,,,0.0002085,147.6965,51200.212,0.54569891,0
13501503.36,,5905,220.01,220.133,50000.156,9.3E-6,221.26795,3.838286,122.16943,0.2436,9964.8173,7.541,14983.971,10.01,0.52692701,74.811035,1.5212471,91.470959,142.4732,7.081,1,,,,0.00020243,148.9185,48959.506,0.5521334,0
13502384.3,,5905,215.016,215.147,50000.156,9.3E-6,216.26002,3.7770656,120.44342,0.2235,9648.886,7.319,14597.129,9.184,0.5701671,75.273778,1.4428802,91.970599,181.28116,4.922,1,,,,0.0001959,149.6221,46768.397,0.55693799,0
13503267.97,,5905,210.011,210.147,50000.156,9.3E-6,211.2497,3.7081244,119.43216,0.2265,9348.4602,7.027,14255.157,9.305,0.25258247,75.755005,1.3573507,92.512497,197.51546,4.41,1,,,,0.00019001,150.5476,44626.436,0.56536012,0
13504152.91,,5905,205.01,205.151,50000.156,9.2E-6,206.23347,3.6364484,118.67069,0.2164,9054.257,6.694,13929.671,8.89,0.24011637,76.41735,1.3361576,92.732854,206.72106,3.865,1,,,,0.00018407,151.51,42532.245,0.57541917,0
13505046.23,,5905,200.018,200.168,50000.156,9.3E-6,201.22898,3.5708162,118.08223,0.1957,8764.5912,6.368,13615.828,8.039,0.43035384,77.088809,1.3053269,92.999697,211.6375,3.238,1,,,,0.00017834,152.8347,40493.102,0.58680528,0
13505937.06,,5905,194.995,195.174,50000.156,9.2E-6,196.21851,3.5007516,117.72345,0.1982,8476.9473,6.096,13313.445,8.144,0.28460189,77.696626,1.2687148,93.286653,212.10407,3.153,1,,,,0.00017301,154.1776,38501.706,0.59996095,0
13506831.86,,5905,190,190.189,50000.156,9.2E-6,191.20738,3.4307997,117.06586,0.1909,8190.6229,5.924,13000.104,7.844,0.22548371,78.250518,1.2361281,93.538255,216.61782,2.844,1,,,,0.00016773,155.3933,36560.261,0.6122455,0
13507730.89,,5905,185.009,185.181,50000.156,9.3E-6,186.20022,3.3588509,116.41631,0.1767,7908.9118,5.851,12691.707,7.258,0.41231093,78.774305,1.2193478,93.703211,220.15233,2.473,1,,,,0.00016268,156.501,34670.523,0.62522111,0
13508633.94,,5905,180.018,180.175,50000.156,9.3E-6,181.18711,3.2835632,115.26761,0.1781,7628.0541,5.823,12363.657,7.315,0.24101222,78.967552,1.1913398,93.889322,229.37477,2.296,1,,,,0.00015808,157.5486,32828.77,0.63617994,0
13509535.2,,5905,175.014,175.151,50000.156,9.3E-6,176.18623,3.2043825,114.18093,0.1588,7345.0553,5.786,12036.013,6.525,18.048717,79.173368,1.1860698,93.963796,236.3131,1.903,1,,,,0.00015353,157.9351,31041.589,0.64806951,0
13510440.86,,5905,170.004,170.107,50000.156,9.2E-6,171.15916,3.1334618,112.69997,0.1562,7054.7267,5.701,11684.842,6.416,1.8086918,79.532105,1.1634148,94.12941,246.31156,1.726,1,,,,0.00014838,158.3467,29295.459,0.65845126,0
13511344.23,,5905,165.014,165.109,50000.156,9.2E-6,166.14728,3.060748,111.21139,0.1607,6760.9485,5.606,11329.907,6.6,2.7410959,79.503913,1.1600688,94.172609,254.67135,1.648,1,,,,0.00014396,159.0642,27604.919,0.66935427,0
13512247.19,,5905,159.998,160.116,50000.156,9.2E-6,161.12255,2.9812696,110.15177,0.1528,6463.954,5.488,10989.38,6.277,17.628566,79.905356,1.1474841,94.292616,257.34434,1.479,1,,,,0.00013896,159.0078,25960.475,0.6836521,0
13513150.11,,5905,155.021,155.146,50000.156,9.4E-6,156.10673,2.9156718,108.2684,0.1452,6165.9565,5.327,10614.007,5.963,26.993634,79.481615,1.0748899,94.636292,266.58137,1.304,1,,,,0.00013489,159.8107,24369.31,0.69355374,0
13514047.55,,5905,150.002,150.153,50000.156,9.3E-6,151.0726,2.8327052,106.79348,0.1479,5864.8522,5.078,10252.308,6.078,1.2788999,79.700725,1.0955671,94.575831,270.60815,1.25,1,,,,0.00013001,158.9632,22822.93,0.70690174,0
13514952.45,,5905,145.009,145.149,50000.156,9.3E-6,146.05184,2.760686,105.21013,0.137,5562.9293,4.802,9885.3354,5.63,1.3826616,79.454276,1.0790927,94.660386,274.36456,1.091,1,,,,0.00012578,159.4015,21331.141,0.72036157,0
13515855.55,,5905,140.005,140.126,50000.156,9.2E-6,141.02601,2.6826217,103.3587,0.1293,5261.0552,4.606,9507.3975,5.31,5.4354035,78.899762,1.0163361,94.944493,278.94594,0.9674,1,,,,0.0001218,158.9086,19888.336,0.73290519,0
13516749.69,,5905,135.009,135.109,50000.156,9.3E-6,135.99445,2.5976074,101.53258,0.1285,4959.6507,4.564,9130.9698,5.281,2.8467667,78.417812,0.99938212,95.011266,282.0142,0.9061,1,,,,0.00011773,157.7995,18494.49,0.74659357,0
13517643.31,,5905,130.014,130.101,50000.156,9.3E-6,130.97264,2.5192301,99.379507,0.1278,4659.121,4.591,8741.9841,5.252,44.911409,77.732579,0.95749236,95.183847,286.07159,0.8509,1,,,,0.00011372,156.8356,17153.833,0.75878066,0
13518531.09,,5905,125.001,125.111,50000.156,9.2E-6,125.94841,2.4376717,96.775074,0.1319,4360.9935,4.553,8336.8573,5.419,3.8422013,76.651064,0.94479076,95.186747,291.58445,0.8274,1,,,,0.00011003,155.4652,15863.002,0.76837074,0
13519412.97,,5905,119.996,120.12,50000.156,9.2E-6,120.92347,2.3461684,94.302275,0.1267,4064.4301,4.426,7938.7026,5.203,2.822492,75.387885,0.88707386,95.402122,294.72431,0.7517,1,,,,0.00010653,153.3021,14622.486,0.77985089,0
13520274.86,,5905,114.996,115.124,50000.156,9.3E-6,115.89165,2.2567267,91.792268,0.1207,3770.8446,4.256,7541.997,4.961,4.5519878,74.194889,0.85078798,95.514267,296.65561,0.6797,1,,,,0.00010286,150.7758,13430.874,0.79205248,0
13521135.59,,5905,109.991,110.111,50000.156,9.3E-6,110.85691,2.1709298,88.724473,0.1193,3482.1705,4.055,7127.287,4.902,1.1841775,72.60183,0.79778853,95.69094,300.2135,0.6376,1,,,,9.9339E-5,148.3898,12289.255,0.80035131,0
13521991.22,,5905,104.988,105.12,50000.156,9.3E-6,105.83301,2.0755193,85.936228,0.1143,3198.9687,3.821,6729.5342,4.694,0.77741186,70.934025,0.76539926,95.754203,300.80713,0.5813,1,,,,9.6041E-5,145.2037,11200.627,0.8119983,0
13522840.47,,5905,99.9894,100.126,50000.156,9.2E-6,100.8005,1.9868287,82.586323,0.1131,2926.377,3.633,6319.3165,4.647,0.3340957,69.209889,0.72745953,95.845226,302.74449,0.5491,1,,,,9.246E-5,141.868,10160.741,0.81930467,0
13523676.58,,5905,94.9985,95.1246,50000.156,9.3E-6,95.760043,1.8903346,79.340106,0.107,2665.3279,3.511,5924.9013,4.395,0.5277693,67.309352,0.69095595,95.91721,302.62297,0.4966,1,,,,8.9171E-5,138.4198,9169.9858,0.8285304,0
13524512.97,,5905,89.9989,90.1299,50000.156,9.2E-6,90.714293,1.8008732,75.555135,0.1151,2411.8038,3.327,5515.8771,4.729,0.10963857,65.276556,0.66314418,95.931122,303.4305,0.5131,1,,,,8.5647E-5,134.6187,8229.0829,0.83289118,0
13525345.19,,5905,84.9903,85.1193,50000.156,9.2E-6,85.687355,1.7115204,71.589458,0.1081,2165.292,3.047,5106.4412,4.441,0.1260024,62.759076,0.61482622,96.040414,303.47948,0.4645,1,,,,8.249E-5,130.5531,7342.3228,0.83547284,0
13526142.92,,5905,79.9794,80.1208,50000.156,9.3E-6,80.646523,1.61826,67.935633,0.1052,1931.7278,2.791,4722.7649,4.323,0.090840876,60.666792,0.58596749,96.04989,300.5832,0.436,1,,,,7.8977E-5,125.5182,6503.8616,0.84238762,0
13526924.11,,5905,74.9991,75.0968,50000.156,9.2E-6,75.611997,1.5330519,63.613909,0.09297,1712.4976,2.572,4325.983,3.819,0.14532643,57.932354,0.54688578,96.092456,298.91154,0.3744,1,,,,7.5792E-5,121.3336,5717.1741,0.84132032,0
13527694.06,,5905,69.9869,70.0925,50000.156,9.2E-6,70.570551,1.4428774,59.011738,0.08156,1507.1144,2.423,3931.5262,3.351,0.24759541,55.163672,0.50736214,96.143209,296.68904,0.3213,1,,,,7.2368E-5,115.8647,4980.2026,0.83620912,0
13528434.97,,5905,64.9928,65.1014,50000.156,9.3E-6,65.536389,1.3536585,54.297001,0.07486,1316.663,2.32,3547.3766,3.076,0.46029151,52.209664,0.47334052,96.144904,293.28174,0.2904,1,,,,6.9032E-5,110.3273,4295.0183,0.82850156,0
13529147.59,,5905,59.9873,60.0978,50000.156,9.2E-6,60.498371,1.2665131,49.432878,0.07279,1141.1608,2.248,3172.039,2.99,0.42475281,49.236129,0.43907432,96.15301,288.78389,0.28,1,,,,6.5491E-5,104.4193,3660.0528,0.81709438,0
13529894.28,,5905,55.001,55.1015,50000.156,9.2E-6,55.466918,1.1810868,44.50663,0.06981,979.08249,2.19,2807.5729,2.868,7.463258,46.129181,0.41250441,96.083698,282.90953,0.2686,1,,,,6.1925E-5,98.47226,3076.5789,0.80239956,0
13530632.05,,5905,49.9972,50.1092,50000.156,9.3E-6,50.429969,1.0867133,39.392552,0.06642,830.84123,2.029,2449.2272,2.729,1.0621132,42.381414,0.37115432,96.109934,276.09377,0.2589,1,,,,5.8821E-5,92.25836,2543.1818,0.78113377,0
13531344.7,,5905,49.0042,49.1176,50000.156,9.3E-6,49.375011,0.95498251,38.271065,0.06032,801.96964,2.01,2374.2809,2.478,5.750963,41.405048,0.35829618,96.147364,274.65814,0.2364,1,,,,5.8359E-5,73.16218,2437.8917,0.77511001,0
